[2025-12-17T02:52:04.992835] SCRAPER using user profile: user-data=Microsoft/Edge/User Data profile=None
[2025-12-17T02:52:04.994162] SCRAPER detected Linux OS; using direct driver initialization
[2025-12-17T02:52:04.994220] SCRAPER initializing Edge driver for Linux
[2025-12-17T02:52:06.653268] SCRAPER Edge driver initialized successfully on Linux
[2025-12-17T02:52:26.594945] SCRAPER injected 26 cookies from cookies.json into session
[2025-12-17T02:52:39.235383] SCRAPER product tab detected; proceeding
[2025-12-17T02:53:23.335351] SCRAPER page 40: collected 800/4624
[2025-12-17T02:53:24.154848] SCRAPER page 41: collected 820/4624
[2025-12-17T02:53:25.236926] SCRAPER page 42: collected 840/4624
[2025-12-17T02:53:29.050837] SCRAPER page 43: collected 860/4624
[2025-12-17T02:53:34.893892] SCRAPER page 44: collected 880/4624
[2025-12-17T02:53:36.184063] SCRAPER page 45: collected 900/4624
[2025-12-17T02:53:37.119651] SCRAPER page 46: collected 920/4624
[2025-12-17T02:53:37.901838] SCRAPER page 47: collected 940/4624
[2025-12-17T02:53:39.378738] SCRAPER page 48: collected 960/4624
[2025-12-17T02:53:40.343624] SCRAPER page 49: collected 980/4624
[2025-12-17T02:53:41.344299] SCRAPER page 50: collected 1000/4624
[2025-12-17T02:53:42.166648] SCRAPER page 51: collected 1020/4624
[2025-12-17T02:53:43.225928] SCRAPER page 52: collected 1040/4624
[2025-12-17T02:53:44.060623] SCRAPER page 53: collected 1060/4624
[2025-12-17T02:53:44.751642] SCRAPER page 54: collected 1080/4624
[2025-12-17T02:53:45.581854] SCRAPER page 55: collected 1100/4624
[2025-12-17T02:53:46.463766] SCRAPER page 56: collected 1120/4624
[2025-12-17T02:53:47.357739] SCRAPER page 57: collected 1140/4624
[2025-12-17T02:53:48.245914] SCRAPER page 58: collected 1160/4624
[2025-12-17T02:53:49.000670] SCRAPER page 59: collected 1180/4624
[2025-12-17T02:53:49.904725] SCRAPER page 60: collected 1200/4624
[2025-12-17T02:53:50.816460] SCRAPER page 61: collected 1220/4624
[2025-12-17T02:53:51.763745] SCRAPER page 62: collected 1240/4624
[2025-12-17T02:53:52.680813] SCRAPER page 63: collected 1260/4624
[2025-12-17T02:53:53.467373] SCRAPER page 64: collected 1280/4624
[2025-12-17T02:53:54.258439] SCRAPER page 65: collected 1300/4624
[2025-12-17T02:53:54.986294] SCRAPER page 66: collected 1320/4624
[2025-12-17T02:53:55.811876] SCRAPER page 67: collected 1340/4624
[2025-12-17T02:53:56.601655] SCRAPER page 68: collected 1360/4624
[2025-12-17T02:53:57.400703] SCRAPER page 69: collected 1380/4624
[2025-12-17T02:53:58.144543] SCRAPER page 70: collected 1400/4624
[2025-12-17T02:53:58.998517] SCRAPER page 71: collected 1420/4624
[2025-12-17T02:54:00.047578] SCRAPER page 72: collected 1440/4624
[2025-12-17T02:54:00.926278] SCRAPER page 73: collected 1460/4624
[2025-12-17T02:54:01.748728] SCRAPER page 74: collected 1480/4624
[2025-12-17T02:54:02.559206] SCRAPER page 75: collected 1500/4624
[2025-12-17T02:54:03.534547] SCRAPER page 76: collected 1520/4624
[2025-12-17T02:54:04.332513] SCRAPER page 77: collected 1540/4624
[2025-12-17T02:54:05.158820] SCRAPER page 78: collected 1560/4624
[2025-12-17T02:54:06.117006] SCRAPER page 79: collected 1580/4624
[2025-12-17T02:54:06.983112] SCRAPER page 80: collected 1600/4624
[2025-12-17T02:54:07.802249] SCRAPER page 81: collected 1620/4624
[2025-12-17T02:54:08.583891] SCRAPER page 82: collected 1640/4624
[2025-12-17T02:54:09.529181] SCRAPER page 83: collected 1660/4624
[2025-12-17T02:54:10.621662] SCRAPER page 84: collected 1680/4624
[2025-12-17T02:54:11.468692] SCRAPER page 85: collected 1700/4624
[2025-12-17T02:54:12.247842] SCRAPER page 86: collected 1720/4624
[2025-12-17T02:54:13.065680] SCRAPER page 87: collected 1740/4624
[2025-12-17T02:54:13.967929] SCRAPER page 88: collected 1760/4624
[2025-12-17T02:54:14.887954] SCRAPER page 89: collected 1780/4624
[2025-12-17T02:54:15.736308] SCRAPER page 90: collected 1800/4624
[2025-12-17T02:54:16.671688] SCRAPER page 91: collected 1820/4624
[2025-12-17T02:54:17.430397] SCRAPER page 92: collected 1840/4624
[2025-12-17T02:54:18.315557] SCRAPER page 93: collected 1860/4624
[2025-12-17T02:54:19.247615] SCRAPER page 94: collected 1880/4624
[2025-12-17T02:54:20.276421] SCRAPER page 95: collected 1900/4624
[2025-12-17T02:54:21.066948] SCRAPER page 96: collected 1920/4624
[2025-12-17T02:54:21.982656] SCRAPER page 97: collected 1940/4624
[2025-12-17T02:54:22.792492] SCRAPER page 98: collected 1960/4624
[2025-12-17T02:54:23.586936] SCRAPER page 99: collected 1980/4624
[2025-12-17T02:54:24.361247] SCRAPER page 100: collected 2000/4624
[2025-12-17T02:54:25.168515] SCRAPER page 101: collected 2020/4624
[2025-12-17T02:54:26.019841] SCRAPER page 102: collected 2040/4624
[2025-12-17T02:54:26.832635] SCRAPER page 103: collected 2060/4624
[2025-12-17T02:54:27.644512] SCRAPER page 104: collected 2080/4624
[2025-12-17T02:54:28.574727] SCRAPER page 105: collected 2100/4624
[2025-12-17T02:54:29.495272] SCRAPER page 106: collected 2120/4624
[2025-12-17T02:54:30.496983] SCRAPER page 107: collected 2140/4624
[2025-12-17T02:54:31.220760] SCRAPER page 108: collected 2160/4624
[2025-12-17T02:54:32.078521] SCRAPER page 109: collected 2180/4624
[2025-12-17T02:54:33.001854] SCRAPER page 110: collected 2200/4624
[2025-12-17T02:54:33.884458] SCRAPER page 111: collected 2220/4624
[2025-12-17T02:54:34.652517] SCRAPER page 112: collected 2240/4624
[2025-12-17T02:54:35.432458] SCRAPER page 113: collected 2260/4624
[2025-12-17T02:54:36.372252] SCRAPER page 114: collected 2280/4624
[2025-12-17T02:54:37.391845] SCRAPER page 115: collected 2300/4624
[2025-12-17T02:54:38.262676] SCRAPER page 116: collected 2312/4624
[2025-12-17T02:54:38.913908] SCRAPER finished; total 2312 reviews saved
