username,comment,rating,likes,create_time,userid,orderid,product_name,product_type,product_label,comment_usefulness,comment_clean,tokens,tokens_count,sentiment,sentiment_confidence
arifitrians23,Kualitas bagus. Realpict dan keren ini aku berdua sm pacar aku. Jd bisa buat cwk atau cwk wkwkwkwk mantep pokoknya ,5,7,2023-12-09T12:52:30+00:00,25712683,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,berguna,kualitas bagus realpict keren aku dua sm pacar aku jd buat cwk cwk wkwkwkwk mantep pokok,kualitas bagus realpict keren aku dua sm pacar aku jd buat cwk cwk wkwkwkwk mantep pokok,16,positive,1.0
riestar,Bahan luarnya bagus bangettt... Suka... Banyak tempat penyimpanan... tempat untuk laptop ada busa.. Tp sayang antara bagian dalam dan bagian saku hanya ada pelapis tipis aja ga ada busa lagi..,5,3,2025-10-14T15:13:55+00:00,32413027,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,bahan luar bagus bangettt suka banyak tempat simpan tempat laptop busa tp sayang bagi bagi saku lap tipis aja ga busa,bahan luar bagus bangettt suka banyak tempat simpan tempat laptop busa tp sayang bagi bagi saku lap tipis aja ga busa,21,neutral,0.6
j*****i,"Desain:simpel dan elegaan
Warna:warna sesuai ekspetasi

Gaa usah ragu buat beli ini taas yaa 
harga sangat cocok  di kantong pelajar 
bisa  banget buat bawa banyak banrang , termasuk bawa laptop",5,4,2025-10-14T15:13:27+00:00,728557356,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,desain simpel elegaan warna warna sesuai ekspetasi gaa usah ragu buat beli taas yaa harga sangat cocok kantong ajar banget buat bawa banyak banrang masuk bawa laptop,desain simpel elegaan warna warna sesuai ekspetasi gaa usah ragu buat beli taas yaa harga sangat cocok kantong ajar banget buat bawa banyak banrang masuk bawa laptop,27,neutral,0.6
muhammad121501faris,"Desain:bagus
Warna:sangat bagus
Ketebalan:barang juga tebal

Ada perlu perbaikan kerpian pada produk pada jahitan didalam tasnya dan juga pada lubang cash",5,0,2024-08-25T14:36:34+00:00,233094181,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,desain bagus warna sangat bagus tebal barang tebal perlu baik kerpian produk jahit dalam tas lubang cash,desain bagus warna sangat bagus tebal barang tebal perlu baik kerpian produk jahit dalam tas lubang cash,17,positive,1.0
i*****_,"Tampilan:cukup bagus

Lumayan sih, agak tipis yah, terus jg ada yg sobek, yg paling ga ngerti fungsi yg disamping itu buat apa ya? Buat hiasan doang kah? Soalnya ga sesuai sama yg di gambar, ga bisa buat ngecas itu, bingung jg dpt kabel tp mau dicolokin kemana 😂 agak kecewa sih dg harga segitu tp dpt barang nya yg kayak begini.",3,5,2025-09-14T00:45:16+00:00,794584496,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tampil cukup bagus lumayan sih tipis yah terus jg yg sobek yg paling ga ngerti fungsi yg samping buat apa buat hias doang soal ga sesuai sama yg gambar ga buat ngecas bingung jg dpt kabel tp mau dicolokin kecewa sih dg harga segitu tp dpt barang nya yg kayak begini,tampil cukup bagus lumayan sih tipis yah terus jg yg sobek yg paling ga ngerti fungsi yg samping buat apa buat hias doang soal ga sesuai sama yg gambar ga buat ngecas bingung jg dpt kabel tp mau dicolokin kecewa sih dg harga segitu tp dpt barang nya yg kayak begini,51,negative,0.8857142857142857
novia.arsyadimadja,Tampilan:bagus cukup worth it untuk harga segitu bnyak space nya.. bahan cukup bagus,5,0,2024-03-29T00:47:46+00:00,334615856,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil bagus cukup worth it harga segitu bnyak space nya bahan cukup bagus,tampil bagus cukup worth it harga segitu bnyak space nya bahan cukup bagus,13,positive,1.0
fafayunata,"Desain:keren,
Warna:sesuai dgn katalog dan ekspektasi
Ketebalan:tebal

word it dgn harga..
tasnya kekinian.
sarannya adakan dong produk impor biar resnya lebih tebal lagi.
pada umumnya keren, bagus. suami suka",4,1,2025-09-14T00:45:50+00:00,1169071886,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,desain keren warna sesuai dgn katalog ekspektasi tebal tebal word it dgn harga tas kini saran adakan dong produk impor biar resnya lebih tebal umum keren bagus suami suka,desain keren warna sesuai dgn katalog ekspektasi tebal tebal word it dgn harga tas kini saran adakan dong produk impor biar resnya lebih tebal umum keren bagus suami suka,29,positive,1.0
s*****7,tasnya bahan parasut gitu tp ternyata lumayan bgs!! lumayan agak sedeng gak bessr ga kecil tp muat banyak. ga nyesel deh kerennnn!!,5,1,2020-11-13T13:49:13+00:00,133189383,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,berguna,tas bahan parasut gitu tp nyata lumayan bgs lumayan sedeng gak bessr ga kecil tp muat banyak ga nyesel deh kerennnn,tas bahan parasut gitu tp nyata lumayan bgs lumayan sedeng gak bessr ga kecil tp muat banyak ga nyesel deh kerennnn,21,negative,1.0
m*****r,"Desain:bagus
Warna:hitam
Ketebalan:cukup

Ada harga ada kualitas",5,0,2025-10-02T06:06:26+00:00,1055442216,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain bagus warna hitam tebal cukup harga kualitas,desain bagus warna hitam tebal cukup harga kualitas,8,positive,1.0
7*****5,,5,1,2025-10-09T14:19:45+00:00,238777958,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,tidak_berguna,,,1,neutral,0.6
y*****a,"Kapasitas:full banyak kantong
Styling:oc good
Sepadan dengan Uang:oc sesuai

Paket diterima dengan baik dan bagus tasnya tks reseler amanah....",5,0,2023-05-07T05:53:42+00:00,725868271,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,kapasitas full banyak kantong styling oc good padan uang oc sesuai paket terima baik bagus tas tks reseler amanah,kapasitas full banyak kantong styling oc good padan uang oc sesuai paket terima baik bagus tas tks reseler amanah,19,positive,1.0
ritafer_,"Tampilan:ok
Warna:ok

Busanya tebal, ukuran besar.",5,1,2023-06-27T02:16:29+00:00,79192916,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tampil warna busa tebal ukur besar,tampil warna busa tebal ukur besar,6,neutral,0.6
b*****9,"Barangnya bagus.. pengirimanya cepat, sukses terus kak!",5,1,2024-06-30T12:04:28+00:00,423262225,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,barang bagus pengirimanya cepat sukses terus kak,barang bagus pengirimanya cepat sukses terus kak,7,positive,1.0
qdz75gada8,"Desain:ok
Warna:abu
Ketebalan:tebal

Semoga tasnya awet",5,1,2025-08-29T05:39:43+00:00,829228163,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,desain warna abu tebal tebal moga tas awet,desain warna abu tebal tebal moga tas awet,8,neutral,0.6
wahyuliliuszen669,Tampilan:bagus,5,1,2025-09-14T00:47:45+00:00,738171802,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil bagus,tampil bagus,2,positive,1.0
y*****8,"Sbnernya Dr awal saya Emang krg suka, krna menurutq dgn harga hampir 200rb tpi kyaknya biasa aja, krna permintaan anakq yg Uda sma maunya model itu, ya gmn lagi, jdi beli deh, wes pkok anakq suka, mamanya ikut aja",3,1,2024-07-21T14:03:16+00:00,537579743,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,sbnernya dr awal emang krg suka krna menurutq dgn harga hampir 200rb tpi kyaknya biasa aja krna minta anakq yg uda sma mau model gmn jdi beli deh wes pkok anakq suka mama ikut aja,sbnernya dr awal emang krg suka krna menurutq dgn harga hampir 200rb tpi kyaknya biasa aja krna minta anakq yg uda sma mau model gmn jdi beli deh wes pkok anakq suka mama ikut aja,35,positive,1.0
urielili,"baguss tasnya... keren, harga jg sangat terjangkau
makasihh",5,1,2023-06-27T02:14:35+00:00,10799887,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,berguna,baguss tas keren harga jg sangat jangkau makasihh,baguss tas keren harga jg sangat jangkau makasihh,8,positive,1.0
e*****e,"Desain:bagus
Warna:bagus
Ketebalan:bagus

Barang diterima dengan baik sesuai pesanan sangat bagus Terima kasih seller Terima kasih abang kurir",5,1,2025-08-08T05:51:19+00:00,696473404,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain bagus warna bagus tebal bagus barang terima baik sesuai pesan sangat bagus terima kasih seller terima kasih abang kurir,desain bagus warna bagus tebal bagus barang terima baik sesuai pesan sangat bagus terima kasih seller terima kasih abang kurir,20,positive,1.0
s*****d,"Tampilan:real pict
Warna:baguss

Tasnya realpict banget. Bahannya juga bagus lembut. Ga recommend buat yg laptopnya 15inch ++ apalagi 16inch. Kekecilan, kasian laptop klean gais. Busanya juga kurang aman karna tipiss.
But buat yg laptopnya kecil ini tas bagooss bangett harus beli. Bagus juga buat main",4,11,2024-07-17T02:58:22+00:00,56509781,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil real pict warna baguss tas realpict banget bahan bagus lembut ga recommend buat yg laptop 15inch 16inch kecil kasi laptop klean gais busa kurang aman karna tipiss but buat yg laptop kecil tas bagooss bangett beli bagus buat main,tampil real pict warna baguss tas realpict banget bahan bagus lembut ga recommend buat yg laptop 15inch 16inch kecil kasi laptop klean gais busa kurang aman karna tipiss but buat yg laptop kecil tas bagooss bangett beli bagus buat main,40,negative,0.6444444444444444
e*****3,"Desain:bagus
Warna:hitam
Ketebalan:tebal

Pengirimannya cepat sampai barang sesuai pesanan terimakasih",5,0,2025-06-23T08:13:42+00:00,74022055,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain bagus warna hitam tebal tebal kirim cepat barang sesuai pesan terimakasih,desain bagus warna hitam tebal tebal kirim cepat barang sesuai pesan terimakasih,12,positive,1.0
t*****i,,5,0,2024-07-18T16:17:43+00:00,181861649,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,tidak_berguna,,,1,neutral,0.6
s*****a,Trima kasih,5,0,2024-05-29T09:20:53+00:00,103399312,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,trima kasih,trima kasih,2,neutral,0.6
g*****a,"Tampilan:oke, ganteng
Warna:oke

Rekomendasi.. gaisss",5,0,2023-07-16T01:46:42+00:00,158866888,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tampil oke ganteng warna oke rekomendasi gaisss,tampil oke ganteng warna oke rekomendasi gaisss,7,neutral,0.6
_yofgh0zrp,"Desain:bagus
Warna:hitam
Ketebalan:agak tipis tapi tapi gpp",5,0,2025-07-20T10:53:22+00:00,1402219067,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain bagus warna hitam tebal tipis gpp,desain bagus warna hitam tebal tipis gpp,7,neutral,0.6
thonifarrelfaeza,"Sepadan dengan Uang:bagus cuma gapake kardus tas jd kesannya kaya tas yg di jual di pasar2 gitu.
Kapasitas:lumayan",5,2,2023-10-13T18:08:24+00:00,82247204,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,padan uang bagus cuma gapake kardus tas jd kesan kaya tas yg jual pasar2 gitu kapasitas lumayan,padan uang bagus cuma gapake kardus tas jd kesan kaya tas yg jual pasar2 gitu kapasitas lumayan,17,positive,1.0
dinayarif,,5,0,2024-04-15T01:07:01+00:00,282710266,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,tidak_berguna,,,1,neutral,0.6
nazla_rubiana,,5,1,2023-01-30T08:20:54+00:00,59212186,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,tidak_berguna,,,1,neutral,0.6
aburaza202,Desain:bagus,5,0,2025-07-12T09:59:23+00:00,1206961837,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,desain bagus,desain bagus,2,positive,1.0
yanimulyani734,"Desain:simple
Warna:hitam
Ketebalan:gak tebal soalnya bahan nya waterproof, tapi gak tipis murahan, ini sih barangnya bagus cocok untuk anak sekolahan dan dewasa",4,0,2024-07-31T09:01:49+00:00,804990847,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain simple warna hitam tebal gak tebal soal bahan nya waterproof gak tipis murah sih barang bagus cocok anak sekolah dewasa,desain simple warna hitam tebal gak tebal soal bahan nya waterproof gak tipis murah sih barang bagus cocok anak sekolah dewasa,21,neutral,0.6
seliaaaaahhhapriliya,"Warna:sesuai
Tampilan:baguss

Barangnya sangat bagus saudara saya sangat suka sesuai di foto juga di deskripsi, tasnya benaran anti air pokoknya mantap kualitasnya. Maaf ga sempat foto sudah di ambil saudara soalnya",5,0,2023-07-16T12:05:52+00:00,290121602,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,warna sesuai tampil baguss barang sangat bagus saudara sangat suka sesuai foto deskripsi tas benar anti air pokok mantap kualitas maaf ga sempat foto ambil saudara soal,warna sesuai tampil baguss barang sangat bagus saudara sangat suka sesuai foto deskripsi tas benar anti air pokok mantap kualitas maaf ga sempat foto ambil saudara soal,27,positive,0.8
safrinabdrazak,"Desain:keren
Warna:sesuai dengan pesanan
Ketebalan:sangat tebal",5,0,2025-08-09T08:34:07+00:00,1136585389,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain keren warna sesuai pesan tebal sangat tebal,desain keren warna sesuai pesan tebal sangat tebal,8,positive,1.0
yunita0517,,5,0,2023-12-28T11:21:53+00:00,68769038,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,tidak_berguna,,,1,neutral,0.6
dwirahmayuni10,,5,0,2024-06-18T11:16:00+00:00,394840620,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,tidak_berguna,,,1,neutral,0.6
bunda.kiki23,Baguss,5,0,2023-07-09T08:35:10+00:00,222645127,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,baguss,baguss,1,neutral,0.6
,"Warna:abu
Tampilan:oke

Tasnya ringan jadi ga pegal bawanya",4,1,2024-04-12T10:27:02+00:00,1117797417,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,warna abu tampil oke tas ringan jadi ga pegal bawa,warna abu tampil oke tas ringan jadi ga pegal bawa,10,negative,1.0
rafala123,,5,0,2023-02-25T04:54:28+00:00,121745885,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,tidak_berguna,,,1,neutral,0.6
nurifah141,,5,0,2024-08-07T09:28:35+00:00,560111396,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,tidak_berguna,,,1,neutral,0.6
dini_srfh,"Warna:sesuai
Tampilan:keren

Mantap",5,0,2023-11-30T12:56:43+00:00,627591445,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,warna sesuai tampil keren mantap,warna sesuai tampil keren mantap,5,positive,1.0
adinhaidar,Bagus. Rekomendasi banget,5,0,2025-07-19T07:11:56+00:00,48800108,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,bagus rekomendasi banget,bagus rekomendasi banget,3,positive,1.0
5vt4fegf4o,,5,0,2025-07-31T03:45:50+00:00,1451880321,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,tidak_berguna,,,1,neutral,0.6
r*****_,"tas nya bagus, bahan tasnya bagus. pokoknya suka",5,0,2023-06-06T04:46:52+00:00,143060214,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tas nya bagus bahan tas bagus pokok suka,tas nya bagus bahan tas bagus pokok suka,8,positive,1.0
wpgxai0ur9,"Desain:bagus
Warna:hitam
Ketebalan:lumayan

Tasnya bagus ketebalan ny jg lumayan untuk harga segitu",5,0,2024-05-04T14:05:19+00:00,1071101352,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain bagus warna hitam tebal lumayan tas bagus tebal ny jg lumayan harga segitu,desain bagus warna hitam tebal lumayan tas bagus tebal ny jg lumayan harga segitu,14,positive,1.0
miaamalia12345,Keren tas nya bagus bgt terimakasih sukses terus buat toko nya the best,5,0,2023-10-06T07:34:36+00:00,83763635,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,keren tas nya bagus bgt terimakasih sukses terus buat toko nya the best,keren tas nya bagus bgt terimakasih sukses terus buat toko nya the best,13,positive,1.0
aulianissa165,"Desain:bagus
Warna:cerah
Ketebalan:bagus

Pertama kali beli di toko ini barangnya bagus seller ramah dan fast respon...tks",5,0,2024-07-28T07:13:15+00:00,988914854,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain bagus warna cerah tebal bagus pertama kali beli toko barang bagus seller ramah fast respon tks,desain bagus warna cerah tebal bagus pertama kali beli toko barang bagus seller ramah fast respon tks,17,positive,1.0
aryosetosatrio,"Desain:ok
Warna:sesuai
Ketebalan:tebal dan halus

Dah sampai ka tasnya... Bagus halus bahannya.... Makasih ka.",5,0,2024-05-26T11:29:25+00:00,138709006,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain warna sesuai tebal tebal halus dah ka tas bagus halus bahan makasih ka,desain warna sesuai tebal tebal halus dah ka tas bagus halus bahan makasih ka,14,positive,1.0
oki_pradipa,Tasnya bagus. Serius. Bahannya juga enak. Semoga awet jahitannya. Pengiriman cepat. Sehari sampai,5,0,2023-03-31T04:40:59+00:00,787210874,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tas bagus serius bahan enak moga awet jahit kirim cepat hari,tas bagus serius bahan enak moga awet jahit kirim cepat hari,11,positive,1.0
ramosriakay,Ketebalan tas kurang memuaskan. Tks.,3,0,2025-09-10T11:11:59+00:00,261044617,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tebal tas kurang muas tks,tebal tas kurang muas tks,5,negative,1.0
amirruddin007,Mantap,5,0,2024-09-07T11:42:21+00:00,889340748,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,mantap,mantap,1,positive,1.0
a74yxqq3k4,Bagus suka banget,5,0,2023-07-13T10:51:40+00:00,838737614,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,bagus suka banget,bagus suka banget,3,positive,1.0
onedra1,bagus bagus bagus bagus,5,0,2023-07-15T01:00:06+00:00,11967324,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,bagus bagus bagus bagus,bagus bagus bagus bagus,4,positive,1.0
dikiwahyudi154,Bagussss,5,0,2024-07-08T13:16:50+00:00,652990338,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,bagussss,bagussss,1,neutral,0.6
udin_batubata,"Desain:keren dan modis
Warna:sangat bagus dan keren
Ketebalan:lumayan tebal",5,0,2025-05-06T01:47:52+00:00,1238885077,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,desain keren modis warna sangat bagus keren tebal lumayan tebal,desain keren modis warna sangat bagus keren tebal lumayan tebal,10,positive,1.0
8p22xlztkk,Tampilan:Bagus banget bahannya,5,0,2024-02-28T09:38:39+00:00,821760106,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,tampil bagus banget bahan,tampil bagus banget bahan,4,positive,1.0
m*****a,"Warna:hitam
Tampilan:best

Bagus banget anjayyyy, recommended siii",5,0,2023-01-15T07:42:29+00:00,276971494,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,warna hitam tampil best bagus banget anjayyyy recommended siii,warna hitam tampil best bagus banget anjayyyy recommended siii,9,positive,1.0
naf1208,,5,0,2024-03-13T06:35:47+00:00,620804576,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,tidak_berguna,,,1,neutral,0.6
welemulyabu,"Tampilan:mantul realpict
Warna:sesuai

Bahan halus anti air",5,0,2023-12-16T11:10:26+00:00,652522040,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Abu,berguna,tampil mantul realpict warna sesuai bahan halus anti air,tampil mantul realpict warna sesuai bahan halus anti air,9,positive,1.0
masuqis,"Desain:elegan
Warna:sesuai pesanan
Ketebalan:tebal",5,0,2024-07-29T10:20:15+00:00,277368659,,Tas Laptop Backpack Ransel Casual Waterproof 14 15 16 inch USB Port,Ransel Pria,Hitam,berguna,desain elegan warna sesuai pesan tebal tebal,desain elegan warna sesuai pesan tebal tebal,7,neutral,0.6
